Calculated Mass (kg)	Calculated Radius (m)
5.972594958159629e+24	6187666.65952472
1.2026595887454248e+25	7597771.624490591
1.7769982338640186e+25	8655031.43539968
2.388867969397086e+25	9350599.148098107
2.9860056223589187e+25	9981839.931401514
3.568994872843829e+25	10640299.154814726
4.180075050656161e+25	11143832.290841162
4.777724180042722e+25	11599144.608713485
5.3701266890323455e+25	12018430.578661185
5.960318009257049e+25	12365846.952454198
5.973604810767104e+24	6187872.133990122
1.2026595887454248e+25	7597771.624490591
1.7909646808451029e+25	8654306.792478267
2.3902431139128007e+25	9351159.610024853
2.9884433199000467e+25	10018735.767507171
3.5689948624010554e+25	10640299.167709116
4.181285740196501e+25	11143543.540576307
4.777428441501739e+25	11599245.109925944
5.3701536145113805e+25	12018420.064942213
5.960318009257049e+25	12365846.952454198
